Manufacturer;Model Number;Pmax;PTC;Technology;A_c;N_s;N_p;BIPV;Isc;Voc;Ipmax;Vpmax;NOCT;Tc_pmax;Tc_isc;Tc_voc;Short Side;Long Side;ISC_Rear;Prear_max
LG Electronics Inc.;LG365N2K-G4;365;337.6;Mono-c-Si;1.901;72;1;N;9.76;48.2;9.27;39.4;45.7;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG365N2T-A4;365;335.9;Mono-c-Si;1.95;72;1;N;9.74;48.5;9.16;39.9;46.8;-0.37;0.03;-0.27;0.98;1.99;0;0
LG Electronics Inc.;LG365N2W-B3;365;333.6;Mono-c-Si;1.901;72;1;N;9.89;48.4;9.46;38.6;47.5;-0.39;0.02;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG365N2W-G4;365;337.4;Mono-c-Si;1.901;72;1;N;9.92;47.7;9.39;38.9;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG370N2C-B3;370;338.3;Mono-c-Si;1.901;72;1;N;9.94;48.5;9.54;38.8;47.5;-0.39;0.02;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG370N2C-G4;370;342.1;Mono-c-Si;1.901;72;1;N;9.98;48;9.44;39.2;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG370N2K-G4;370;342.4;Mono-c-Si;1.901;72;1;N;9.82;48.5;9.33;39.7;45.7;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG370N2T-A4;370;340.6;Mono-c-Si;1.95;72;1;N;9.78;48.8;9.2;40.3;46.8;-0.37;0.03;-0.27;0.98;1.99;0;0
LG Electronics Inc.;LG370N2W-B3;370;338.3;Mono-c-Si;1.901;72;1;N;9.94;48.5;9.54;38.8;47.5;-0.39;0.02;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG370N2W-G4;370;342.1;Mono-c-Si;1.901;72;1;N;9.98;48;9.44;39.2;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG375N2C-B3;375;343.1;Mono-c-Si;1.901;72;1;N;9.99;48.6;9.62;39;47.5;-0.39;0.02;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG375N2C-G4;375;346.9;Mono-c-Si;1.901;72;1;N;10.04;48.3;9.5;39.5;45.9;-0.37;0.03;-0.28;0.98;1.94;0;0
LG Electronics Inc.;LG375N2K-G4;375;347.1;Mono-c-Si;1.901;72;1;N;9.88;48.8;9.38;40;45.7;-0.37;0.03;-0.28;0.98;1.94;0;0
