Pos,Latitud,Longitud,Cuenca,Distancia,Variacion,area,EC,Rosa,Regadios,Energia,CF,LCOE,Emisiones
1076,40.14484786,-5.158804968,Tietar,1462.946997,336.252,483.197,82,-0.027320508,28,75575.40879141552,17.5,60.86,0.01
1077,40.13752292,-5.157889219,Tietar,2280.729663,334.443,278.245,85,-0.017320508,23,43000.2026006922,17.5,60.86,0.01
1078,40.14173397,-5.158118125,Tietar,1813.795539,335.629,575.428,84,-0.032320508,25,89909.05754554157,17.5,60.86,0.01
1079,40.12286409,-5.156262814,Tietar,3915.073426,331.322,3305.452,83,0.006339746,22,518618.07281309075,17.5,60.86,0.09
1080,40.1550582,-5.156872278,Tietar,358.360447,340.547,639.182,69,-0.042320508,18,99680.36016614585,17.5,60.86,0.02
1081,40.15771944,-5.156170203,Tietar,72.39637149,341.78,1030.745,65,-0.050980762,16,161573.00218949834,17.5,60.86,0.03
1082,40.12550915,-5.152640362,Tietar,3662.641212,333.029,1502.473,84,-0.003660254,22,235202.49567945197,17.5,60.86,0.04
1083,40.12026838,-5.150697217,Tietar,4262.169106,332.371,23870.072,79,0.01,11,3745678.0604423895,17.5,60.86,0.62
1084,40.14168226,-5.153250096,Tietar,1873.00698,337.403,332.54,84,-0.027320508,22,52121.43304183866,17.5,60.86,0.01
1085,40.14775432,-5.152161209,Tietar,1214.136636,339.828,247.896,79,-0.040980762,20,38439.32594015388,17.5,60.86,0.01
1086,40.15561969,-5.152721229,Tietar,351.4164124,342.516,258.542,66,-0.040980762,16,40393.4789615275,17.5,60.86,0.01
1087,40.11518556,-5.192916598,Tietar,4437.17655,321.015,12151.373,58,0.038660254,44,1906980.3171080174,17.5,60.86,0.32
1088,40.11011418,-5.187292091,Tietar,4977.88582,321.632,1452.52,59,0.038660254,18,227380.78013604993,17.5,60.86,0.04
1089,40.09035667,-5.186003686,Tietar,7173.004578,320.038,113.748,33,0.075980762,1,17591.484478208677,17.5,60.86,0.0
