Id;Ranking;Value
52;24;0.043944013978060185
1;0;0.027211212541844925
53;25;0.02329958590803487
38;12;0.018456869001330544
22;10;0.017480495575228617
70;38;0.01729475884335438
72;40;0.01678701678568448
63;32;0.016621021811420375
13;6;0.016480396087088067
207;55;0.015593719468927932
67;36;0.01558759078186843
46;19;0.015565276529822336
215;63;0.015514096846690292
21;9;0.015087530540689871
14;7;0.015057351148807172
71;39;0.014623217882022088
45;18;0.014556543774352474
4;2;0.014510722484764572
64;33;0.0143836653047674
12;5;0.014358375379313008
9;3;0.014272369889103347
153;42;0.014266764648639527
154;43;0.013996885544620759
50;22;0.013944995894090102
57;28;0.01392383284173234
40;14;0.013903326683035481
156;45;0.013877186244635116
55;27;0.01380299046120972
58;29;0.01380134582383803
210;58;0.013783943812391935
206;54;0.013716866298134435
66;35;0.0137156819596275
65;34;0.013564567941438802
205;53;0.01347026334464118
68;37;0.01342836917374781
42;16;0.013424561506148337
54;26;0.013394567398328634
157;46;0.013392823268787789
211;59;0.013344328053440843
51;23;0.013295838799754309
47;20;0.013106889795738201
49;21;0.013097938399658771
11;4;0.013056642821733192
202;51;0.013039449472732369
214;62;0.013008605439799089
2;1;0.012993319573222637
152;41;0.012976261457297428
39;13;0.01295438159316923
212;60;0.012951734539766958
213;61;0.012856267273032788
209;57;0.012833249170770805
41;15;0.012820214616749263
199;49;0.012733991098605277
155;44;0.012715687812787004
204;52;0.012669442222261785
44;17;0.012573571674019169
59;30;0.01234460704765291
62;31;0.012251140368231841
208;56;0.012169258389062161
201;50;0.012009142716145536
158;47;0.011949312800245419
163;48;0.01172866100278835
16;8;0.011420102507421877
288;68;0.011340433881752283
35;11;0.010897819259609042
289;69;0.010700673254541403
284;64;0.010360450545318877
285;65;0.010093496265075348
286;66;0.009816184285599095
287;67;0.009796100453793944
