Pos,Latitud,Longitud,Cuenca,Distancia,Variacion,area,EC,Rosa,Regadios,Energia,CF,LCOE,Emisiones
211,40.87851296,-5.098597096,Trabancos,1309.431144,93.065,1659.048,17,-0.194903811,3,275514.1422191315,18.83,56.56,0.05
212,40.86687025,-5.090203438,Trabancos,2664.7118,91.98,1379.782,20,-0.186243557,4,229247.72534279388,18.83,56.56,0.04
213,40.9478356,-5.092331811,Trabancos,6310.643654,98.264,1863.068,5,-0.209903811,41,309150.12060535274,18.83,56.56,0.05
214,40.85251773,-5.084659883,Trabancos,4295.826501,93.432,1389.555,28,-0.186243557,6,230653.057061908,18.83,56.56,0.04
215,40.9278454,-5.085789428,Trabancos,4045.756558,93.359,4933.199,14,-0.204903811,23,818807.5147261667,18.83,56.56,0.14
284,40.80846142,-5.050663805,Trabancos,9460.600104,105.386,1823.625,10,-0.182583302,5,303580.70949931454,18.83,56.55,0.05
285,40.83553032,-5.036979316,Trabancos,6984.651681,90.377,415.029,12,-0.173923048,0,68708.01081950302,18.83,56.55,0.01
286,40.83530783,-5.035947528,Trabancos,7053.440771,90.363,151.011,12,-0.173923048,0,24538.59449354886,18.83,56.55,0.0
287,40.83498196,-5.035208432,Trabancos,7118.732774,90.449,165.013,12,-0.173923048,0,27343.023937996415,18.83,56.55,0.0
288,40.84159178,-5.030821411,Trabancos,6689.408009,87.534,1505.617,16,-0.168923048,0,250293.28612528785,18.83,56.55,0.04
289,40.84099077,-5.029808357,Trabancos,6793.511649,87.739,905.57,16,-0.177583302,0,150035.9083969075,18.83,56.55,0.02
