Pos;Latitud;Longitud;Cuenca;Distancia;Variacion;area;EC;Rosa;Regadios
772;41.10359328;-4.779865725;Adaja;1838.538423;76.912;1069.744;27;-0.192583302;76
773;41.10375447;-4.752109507;Adaja;141.6143713;74.478;2293.43;24;-0.207583302;89
774;41.10433144;-4.944238589;Zapardiel;11330.32237;103.362;890.355;22;-0.196243557;102
775;41.10444223;-4.901915005;Zapardiel;9772.50611;97.161;672.417;15;-0.191243557;134
776;41.10600495;-4.757921037;Adaja;41.70519429;75.154;1076.397;25;-0.202583302;100
777;41.1134613;-4.748802345;Adaja;902.6598976;75.754;2437.471;22;-0.207583302;101
778;41.11148797;-4.745451862;Adaja;1029.55246;75.299;3206.168;22;-0.207583302;80
779;41.13296459;-4.742105683;Adaja;2239.94571;79.151;135.893;17;-0.212583302;70
780;41.05058113;-4.685513329;Zapardiel;906.216716;75.347;511.553;0;-0.217583302;107
781;41.11459418;-4.944997012;Zapardiel;12360.27105;103.982;2340.541;23;-0.196243557;101
782;41.11623224;-4.930397068;Zapardiel;12011.19011;102.048;4620.571;21;-0.204903811;80
783;41.11724626;-4.74976271;Adaja;990.0267945;76.47;1697.083;22;-0.207583302;116
784;41.11826352;-4.756171715;Adaja;514.5734604;76.986;11152.932;22;-0.202583302;132
785;41.12248505;-4.75697803;Adaja;619.5557296;77.754;108.888;18;-0.197583302;144
786;41.12262804;-4.757235834;Adaja;604.5949359;77.814;123.955;18;-0.206243557;146
787;41.12509274;-4.750052777;Adaja;1281.184966;77.884;282.231;18;-0.202583302;124
788;41.12572582;-4.933125292;Zapardiel;13075.92378;103.028;1099.555;21;-0.196243557;73
789;41.12666904;-4.946316059;Zapardiel;13610.22768;104.864;332.099;21;-0.201243557;112
790;41.12694213;-4.753742562;Adaja;1056.006419;78.424;1129.477;18;-0.211243557;122
791;41.12807434;-4.762786488;Adaja;374.4906062;79.182;5796.182;18;-0.211243557;132
792;41.12911878;-4.750806291;Adaja;1381.807345;78.715;1428.435;18;-0.211243557;105
793;41.13178341;-4.750590091;Adaja;1505.814535;79.206;2662.484;18;-0.216243557;97
794;41.13524331;-4.948011155;Zapardiel;14534.25872;105.657;484.923;15;-0.201243557;88
795;41.13535226;-4.946920977;Zapardiel;14507.9248;105.516;617.184;15;-0.201243557;88
796;41.13871115;-4.779951486;Adaja;139.1827956;82.582;350.042;16;-0.221243557;69
797;41.13927778;-4.782698431;Adaja;36.83154592;82.979;454.933;16;-0.221243557;67
798;40.35231396;-5.674293259;Zapardiel;12823.49835;197.236;32480.662;2;-0.134282032;0
799;40.34284177;-5.672361777;Tormes;12785.61891;197.48;2516.515;4;-0.111961524;0
800;40.33022351;-5.6000929;Tormes;7338.248393;181.904;123.712;9;-0.022320508;1
801;40.31194537;-5.656109083;Tormes;12502.75702;198.482;485.841;8;-0.065980762;0
802;40.29918918;-5.637663414;Tormes;11875.92675;197.852;8905.379;5;0.003660254;2
803;40.22109271;-5.601437405;Tormes;16898.3906;226.299;6761.338;4;0.060980762;0
804;40.21761349;-5.588551656;Tormes;16865.81563;228.605;23028.648;4;0.043660254;0
805;40.3092371;-5.720240159;Tormes;17662.23725;210.509;6663.383;4;-0.08830127;0
806;40.3087423;-5.716560693;Tormes;17385.39371;210.035;12426.036;4;-0.096961524;0
807;40.31033441;-5.712274053;Tormes;16982.84516;209.109;66374.356;6;-0.09330127;0
808;40.29552632;-5.71069444;Tormes;17477.40924;211.339;2439.156;5;-0.074641016;0
809;40.37019375;-5.569237576;Tormes;3988.664863;172.821;12162.904;14;-0.064641016;0
810;40.38982483;-5.576310256;Tormes;5479.119911;177.075;236.984;13;-0.060980762;2
811;40.38993284;-5.576628294;Tormes;5508.073649;177.153;170.823;12;-0.060980762;2
812;40.39005522;-5.577019969;Tormes;5543.057279;177.271;513.218;12;-0.060980762;2
813;40.39502323;-5.547681706;Tormes;4147.370133;174.274;463.249;9;-0.069641016;4
814;40.3966594;-5.605566927;Tormes;7985.071058;183.955;648.1;10;-0.072320508;17
815;40.39759679;-5.640088235;Tormes;10672.66583;191.07;936.696;7;-0.079641016;56
816;40.40703465;-5.626016256;Tormes;10064.45333;189.625;931.806;10;-0.077320508;52
817;40.41303826;-5.615085844;Tormes;9657.570398;188.702;4526.365;8;-0.067320508;45
818;40.42230567;-5.677851103;Tormes;14737.46658;200.455;13480.652;4;-0.06830127;7
819;40.42952865;-5.670394926;Tormes;14578.98789;200.165;363.831;4;-0.05830127;3
820;40.46947865;-5.576227396;Tormes;12625.05675;199.16;281.484;0;-0.042320508;0
821;40.58150399;-5.488096413;Tormes;24324.00302;219.302;167.951;41;-0.115621778;0
822;40.57154951;-5.481759314;Tormes;23296.99934;219.939;44.987;45;-0.101961524;0
823;40.57936399;-5.481904412;Tormes;24154.45441;219.776;187.446;45;-0.120621778;0
824;40.57107637;-5.478551906;Tormes;23285.52301;220.201;76.478;45;-0.106961524;0
825;40.57239137;-5.470969589;Tormes;23537.22413;220.767;80.977;51;-0.106961524;0
826;40.57957883;-5.468149885;Tormes;24365.52757;220.729;38.709;51;-0.120621778;0
827;40.58154591;-5.443972774;Tormes;25035.5244;222.405;122.968;58;-0.120621778;0
828;40.58189964;-5.442193177;Tormes;25113.18989;222.497;84.978;58;-0.111961524;0
829;40.58240151;-5.44161027;Tormes;25180.08272;222.519;67.843;59;-0.111961524;0
830;40.56886244;-5.43498678;Tormes;23900.45236;224.048;107.973;58;-0.09830127;0
831;40.56851777;-5.433618123;Tormes;23899.76064;224.203;61.461;59;-0.09830127;0
832;40.58978573;-5.43522786;Zapardiel;26116.58658;222.276;68.983;65;-0.116961524;0
833;41.1385295;-5.015488899;Zapardiel;15595.70417;113.864;929.124;5;-0.197583302;152
834;40.58787163;-5.432251182;Tormes;25984.54035;222.663;103.474;70;-0.10830127;0
835;40.58696208;-5.431335282;Tormes;25910.59055;222.838;58.485;69;-0.10830127;0
836;40.5865323;-5.431174346;Tormes;25868.99478;222.891;94.977;68;-0.10830127;0
837;40.58601106;-5.430367031;Tormes;25833.98281;222.995;83.479;69;-0.10830127;0
838;40.58914999;-5.428776464;Tormes;26206.8514;222.776;222.946;75;-0.10330127;0
839;40.58950178;-5.428437027;Tormes;26252.72539;222.766;77.481;76;-0.10330127;0
840;40.5802865;-5.425989134;Tormes;25343.50033;223.889;86.979;69;-0.10330127;0
841;40.59067842;-5.424681313;Tormes;21091.6701;222.877;132.968;81;-0.111961524;0
842;40.59572991;-5.423454446;Tormes;21171.79601;222.34;285.932;88;-0.10330127;0
843;40.59518751;-5.423019304;Tormes;21117.14976;222.421;261.438;89;-0.10330127;0
844;40.5895353;-5.421192014;Tormes;20771.64568;223.233;89.21;91;-0.10830127;0
845;40.57327421;-5.416387221;Tormes;19898.7973;225.362;234.445;70;-0.11330127;0
846;40.58333317;-5.416506744;Tormes;20191.33061;224.287;302.93;93;-0.11330127;0
847;40.59011808;-5.414567558;Tormes;20258.47561;223.574;66.984;98;-0.111961524;0
848;40.58638856;-5.413104413;Tormes;20013.49708;224.153;218.95;97;-0.10830127;0
849;40.60178641;-5.40470226;Tormes;19930.53302;222.449;52.488;132;-0.094641016;0
850;40.59894365;-5.402526513;Tormes;19640.13631;223;128.972;134;-0.111961524;0
851;40.57773406;-5.515049512;Tormes;23749.98993;217.71;523.084;25;-0.110621778;0
852;40.57456146;-5.514365334;Tormes;23399.09551;217.742;359.029;25;-0.096961524;0
853;40.57072325;-5.509545182;Tormes;22986.68379;217.986;739.963;28;-0.091961524;0
854;40.57874443;-5.507135182;Tormes;23885.83286;218.17;205.437;28;-0.110621778;0
855;40.58125029;-5.494019296;Tormes;24243.43195;218.936;148.955;32;-0.115621778;0
856;40.57143966;-5.489547307;Tormes;23199.68969;219.361;98.471;35;-0.101961524;0
857;40.5798825;-5.489960268;Tormes;24127.37934;219.225;73.478;37;-0.110621778;0
858;40.57024389;-5.478271015;Tormes;23197.91103;220.234;105.969;45;-0.09330127;0
859;40.57045241;-5.476243406;Tormes;23248.25099;220.379;78.477;46;-0.106961524;0
860;40.57116877;-5.465408014;Tormes;23493.83289;221.24;292.92;53;-0.120621778;0
861;40.56905683;-5.476806765;Tormes;23087.57143;220.365;109.469;45;-0.106961524;0
862;40.56828945;-5.480312396;Tormes;22956.90511;220.089;310.911;45;-0.08330127;0
863;40.57079409;-5.454051537;Tormes;23665.57758;222.217;50.986;49;-0.101961524;0
864;40.57048985;-5.453822105;Tormes;23637.46868;222.246;231.439;49;-0.101961524;0
865;40.56320695;-5.516056589;Tormes;22135.42389;217.391;873.436;25;-0.086961524;0
866;40.56908166;-5.457993862;Tormes;23402.4142;221.936;129.965;52;-0.101961524;0
867;40.5622147;-5.510789258;Tormes;22038.32634;217.703;761.411;27;-0.091961524;0
868;40.56047814;-5.497650615;Tormes;21918.20852;218.61;552.24;29;-0.091961524;0
869;40.56559589;-5.451288262;Tormes;23164.40369;222.662;44.837;48;-0.101961524;0
870;40.56404535;-5.462440442;Tormes;22773.10222;221.67;146.52;54;-0.101961524;0
871;40.55540884;-5.507938696;Tormes;21294.4043;217.619;414.089;28;-0.091961524;0
872;40.55306311;-5.516112552;Tormes;21009.1179;216.884;1103.811;23;-0.07330127;0
873;40.55171903;-5.514565864;Tormes;20862.92411;216.912;173.533;23;-0.086961524;0
874;40.4167994;-5.226417183;Zapardiel;12682.98921;322.019;1296.611;4;-0.15160254;5
875;40.44134022;-5.082575266;Alberche;8792.308462;357.687;678.021;2;-0.065621778;0
