Pos,Latitud,Longitud,Isla,Distancia,LCOE,Emisiones,CF,Variacion,EC,Rosa,Cuenca,Energia
1,28.17935414,-17.22886115,La Gomera,41753.90183,60.74,0.17,17.53,90.16113027,30,0.238564065,Duero,1007295.0023581943
2,28.16670922,-17.26201978,La Gomera,45172.90589,61.65,1.01,17.27,79.97859383,31,0.304544827,Duero,6073155.132360866
